STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/25,2.91,,0,0,0,,87,72,,230,170,8.1,21.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/26,3.58,,0,0,0,,87,69,,260,270,8.9,15,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/27,2.68,,0.09,0,0,,80,72,,220,210,12.1,21,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/28,2.24,,0.11,0,0,,90,70,,260,260,12.1,21.9,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/29,3.36,,0.58,0,0,,87,65,,340,170,33.1,47,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/30,3.13,,0,0,0,,80,67,,40,40,12.1,16.1,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/1,2.24,,0.03,0,0,,80,67,,70,80,12.1,16.1,,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/2,3.36,,0,0,0,,92,68,,30,10,12.1,19,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/3,3.58,,0.13,0,0,,90,71,,50,50,15,21,1,,1,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/4,4.47,,0,0,0,,87,68,,60,40,10.1,15,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/5,2.46,,0,0,0,,92,72,,250,,10.1,,,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/6,2.91,,0.54,0,0,,96,70,,240,230,17,31.1,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/7,4.25,,0,0,0,,82,72,,130,120,10.1,15,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/8,2.46,,0.02,0,0,,83,75,,210,210,21,21.9,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/9,2.68,,0,0,0,,89,75,,150,210,8.9,17,,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/10,7.16,,2.54,0,0,,77,73,,130,140,17,31.1,1,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/11,3.36,,0.76,0,0,,83,72,,230,200,12.1,21.9,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/12,4.92,,0.04,0,0,,87,71,,250,230,12.1,21,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/13,4.03,,0.02,0,0,,86,70,,270,280,13,19,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/14,4.7,,0,0,0,,85,70,,20,300,12.1,18.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/15,5.82,,0,0,0,,82,70,,50,60,13,17,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/16,3.8,,0,0,0,,78,69,,140,140,12.1,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/7/17,2.01,,0.03,0,0,,84,69,,50,170,8.1,23,,,,,,,
